_id,__v,deviceId,sensorId,sensorReading,sensorType,timestamp,topic
5c65f907e0b12e539fdca0c3,0,W,l,9,d,2019-02-14T23:25:59.978Z,w
5c65f909e0b12e539fdca0c7,0,W,l,922,d,2019-02-14T23:26:01.825Z,w
5c65f90be0b12e539fdca0c9,0,W,l,921,d,2019-02-14T23:26:03.798Z,w
5c65f90de0b12e539fdca0cb,0,W,l,948,d,2019-02-14T23:26:05.792Z,w
5c65f90fe0b12e539fdca0cd,0,W,l,947,d,2019-02-14T23:26:07.817Z,w
5c65f919e0b12e539fdca0d5,0,W,l,948,d,2019-02-14T23:26:17.244Z,w
5c65f91be0b12e539fdca0db,0,W,l,948,d,2019-02-14T23:26:19.095Z,w
5c65f91de0b12e539fdca0dd,0,W,l,948,d,2019-02-14T23:26:21.095Z,w
5c65f91fe0b12e539fdca0df,0,W,l,948,d,2019-02-14T23:26:23.075Z,w
5c65f921e0b12e539fdca0e1,0,W,l,948,d,2019-02-14T23:26:25.102Z,w
5c65f923e0b12e539fdca0e3,0,W,l,948,d,2019-02-14T23:26:27.101Z,w
5c65f925e0b12e539fdca0e5,0,W,l,948,d,2019-02-14T23:26:29.102Z,w
5c65f927e0b12e539fdca0e7,0,W,l,948,d,2019-02-14T23:26:31.082Z,w
5c65f929e0b12e539fdca0e9,0,W,l,948,d,2019-02-14T23:26:33.140Z,w
5c65f92be0b12e539fdca0eb,0,W,l,948,d,2019-02-14T23:26:35.112Z,w
5c65f92de0b12e539fdca0ed,0,W,l,948,d,2019-02-14T23:26:37.122Z,w
5c65f92fe0b12e539fdca0ef,0,W,l,948,d,2019-02-14T23:26:39.110Z,w
5c65f931e0b12e539fdca0f1,0,W,l,948,d,2019-02-14T23:26:41.092Z,w
5c65f933e0b12e539fdca0f3,0,W,l,948,d,2019-02-14T23:26:43.120Z,w
5c65f935e0b12e539fdca0f5,0,W,l,948,d,2019-02-14T23:26:45.122Z,w
5c65f937e0b12e539fdca0f7,0,W,l,948,d,2019-02-14T23:26:47.122Z,w
5c65f939e0b12e539fdca0f9,0,W,l,948,d,2019-02-14T23:26:49.135Z,w
5c65f93be0b12e539fdca0fb,0,W,l,948,d,2019-02-14T23:26:51.123Z,w
5c65f93de0b12e539fdca0fd,0,W,l,948,d,2019-02-14T23:26:53.173Z,w
5c65f93fe0b12e539fdca0ff,0,W,l,948,d,2019-02-14T23:26:55.134Z,w
5c65f941e0b12e539fdca101,0,W,l,948,d,2019-02-14T23:26:57.124Z,w
5c65f943e0b12e539fdca103,0,W,l,948,d,2019-02-14T23:26:59.131Z,w
5c65f945e0b12e539fdca105,0,W,l,948,d,2019-02-14T23:27:01.123Z,w
5c65f947e0b12e539fdca107,0,W,l,948,d,2019-02-14T23:27:03.186Z,w
5c65f949e0b12e539fdca109,0,W,l,948,d,2019-02-14T23:27:05.138Z,w
5c65f94be0b12e539fdca10b,0,W,l,948,d,2019-02-14T23:27:07.129Z,w
5c65f94de0b12e539fdca10d,0,W,l,948,d,2019-02-14T23:27:09.122Z,w
5c65f94fe0b12e539fdca10f,0,W,l,948,d,2019-02-14T23:27:11.101Z,w
5c65f951e0b12e539fdca111,0,W,l,948,d,2019-02-14T23:27:13.124Z,w
5c65f953e0b12e539fdca113,0,W,l,948,d,2019-02-14T23:27:15.132Z,w
5c65f955e0b12e539fdca115,0,W,l,948,d,2019-02-14T23:27:17.132Z,w
5c65f957e0b12e539fdca117,0,W,l,948,d,2019-02-14T23:27:19.132Z,w
